,Citations,Likes,en.search.wordpress.com,en.wikipedia.org,europepmc.org,f1000.com,scholar.google.com,twitter.com,www.citeulike.org,Pubmed_Citations,Scopus
1460.0,2.0,,,,6.0,,0.0,,,5.0,
1462.0,5.0,2.0,,,7.0,,0.0,,,6.0,13.0
1465.0,3.0,1.0,,,2.0,,0.0,,,2.0,5.0
1473.0,1.0,,1.0,,3.0,,0.0,,,3.0,4.0
1479.0,2.0,,,,5.0,,0.0,,,6.0,
1481.0,3.0,,,,8.0,,0.0,,,8.0,
1482.0,6.0,,,1.0,8.0,,0.0,,,7.0,8.0
1483.0,3.0,,,,5.0,,0.0,,,4.0,8.0
1488.0,3.0,,,,5.0,,0.0,,,5.0,
1489.0,8.0,,,2.0,20.0,,0.0,,,17.0,
1496.0,4.0,,,,2.0,,0.0,,,2.0,
1498.0,3.0,,,2.0,2.0,,0.0,,,5.0,
1501.0,2.0,,,,7.0,,0.0,,1.0,6.0,8.0
1503.0,14.0,,,,18.0,2.0,0.0,,1.0,17.0,33.0
1519.0,,,,,1.0,,0.0,,,1.0,2.0
1524.0,2.0,,,,4.0,,0.0,,,4.0,
1530.0,1.0,,,,2.0,,0.0,,1.0,3.0,3.0
1535.0,7.0,9.0,,,13.0,,0.0,,,10.0,
1539.0,2.0,,,,3.0,,0.0,,,2.0,4.0
1557.0,1.0,11.0,,,4.0,,0.0,,,5.0,9.0
1566.0,3.0,,,12.0,7.0,,0.0,,,9.0,9.0
1567.0,,10.0,,,1.0,,0.0,,,3.0,
1569.0,,,,,1.0,,0.0,,,1.0,1.0
1574.0,2.0,,,,5.0,,0.0,,,5.0,5.0
1579.0,3.0,,,,3.0,2.0,0.0,,,2.0,3.0
1581.0,,1.0,1.0,,1.0,,0.0,,1.0,1.0,2.0
1584.0,3.0,,,,3.0,,0.0,,,1.0,4.0
1596.0,5.0,1.0,,2.0,5.0,3.0,0.0,,,5.0,1.0
1603.0,1.0,,,2.0,2.0,,0.0,,,2.0,7.0
1604.0,,1.0,,,,,0.0,,,,
1607.0,3.0,,,,10.0,,0.0,,,10.0,13.0
1610.0,2.0,,,1.0,5.0,,0.0,,1.0,5.0,
1612.0,7.0,,,1.0,7.0,1.0,0.0,,,6.0,
1621.0,1.0,,,14.0,1.0,,0.0,11.0,,,
1623.0,4.0,,,,8.0,,0.0,,,8.0,
1630.0,4.0,,,,9.0,2.0,0.0,,5.0,11.0,12.0
1632.0,8.0,,,,7.0,4.0,0.0,,,8.0,8.0
1637.0,3.0,,,,5.0,,0.0,,,6.0,
1659.0,9.0,1.0,1.0,,13.0,2.0,0.0,,,15.0,31.0
1671.0,6.0,,,,7.0,,0.0,,2.0,9.0,17.0
1681.0,1.0,934.0,,,3.0,,0.0,,,3.0,5.0
1684.0,1.0,3.0,,,4.0,,0.0,,,3.0,5.0
1694.0,1.0,,,,,,0.0,,,,
1695.0,3.0,,,,3.0,,0.0,,,2.0,3.0
1699.0,,9.0,,7.0,1.0,,0.0,,,1.0,
1715.0,3.0,1.0,,,6.0,,0.0,,,5.0,
1724.0,3.0,,,5.0,1.0,,0.0,,,2.0,4.0
1730.0,,,,5.0,2.0,,0.0,,,2.0,
1739.0,2.0,2.0,,1.0,5.0,,0.0,,,7.0,6.0
1741.0,5.0,28.0,,,5.0,,0.0,2.0,,4.0,
1749.0,33.0,,,,58.0,1.0,0.0,,4.0,54.0,75.0
1751.0,1.0,4.0,,,3.0,,0.0,,,4.0,6.0
1754.0,2.0,,,,6.0,2.0,0.0,,,8.0,
1775.0,4.0,,,,5.0,,0.0,,1.0,4.0,
1776.0,2.0,,,,4.0,,0.0,,,4.0,9.0
1808.0,2.0,41.0,,7.0,5.0,2.0,0.0,,1.0,6.0,7.0
1812.0,2.0,1.0,,,6.0,,0.0,,,5.0,6.0
1817.0,,28.0,,13.0,1.0,,0.0,,,1.0,
1828.0,,,,1.0,2.0,1.0,0.0,,1.0,2.0,1.0
1831.0,1.0,39.0,,,,,0.0,,,,
1832.0,2.0,,,2.0,5.0,,0.0,,,5.0,8.0
1833.0,4.0,2.0,,1.0,7.0,,0.0,,1.0,7.0,
1834.0,3.0,,,,8.0,,0.0,,,10.0,
1846.0,1.0,,,,1.0,,0.0,,,1.0,
1849.0,,,,,1.0,,0.0,,,2.0,1.0
1856.0,6.0,,,,9.0,2.0,0.0,,,9.0,
1857.0,2.0,,,,5.0,,0.0,,,5.0,10.0
1861.0,2.0,,,1.0,10.0,,0.0,,2.0,10.0,
1867.0,5.0,16.0,,,5.0,,0.0,,,7.0,12.0
1879.0,3.0,,,,7.0,,0.0,,,7.0,8.0
1883.0,5.0,1.0,,,4.0,,0.0,,,4.0,10.0
1888.0,2.0,46.0,,,1.0,,0.0,,,1.0,4.0
1892.0,2.0,1.0,,,6.0,,0.0,,1.0,6.0,10.0
1901.0,2.0,,,,3.0,,0.0,,,3.0,
1906.0,5.0,,,,5.0,,0.0,,,3.0,4.0
1911.0,2.0,72.0,,,4.0,,0.0,,,4.0,1.0
1913.0,,,,,1.0,,0.0,,,1.0,
1916.0,2.0,1.0,,,3.0,,0.0,,1.0,2.0,3.0
1917.0,2.0,,,,2.0,,0.0,,,1.0,5.0
1936.0,1.0,3.0,,,6.0,3.0,0.0,,,6.0,3.0
1939.0,1.0,,,,5.0,,0.0,,,5.0,3.0
1944.0,1.0,,,,4.0,,0.0,,,3.0,7.0
1948.0,5.0,1.0,,2.0,14.0,,0.0,,,13.0,15.0
1949.0,,,,,,,0.0,,,,3.0
1958.0,3.0,62.0,,,2.0,,0.0,2.0,,2.0,
1963.0,12.0,,,,15.0,,0.0,,2.0,16.0,
1964.0,1.0,,,,2.0,,0.0,,,2.0,5.0
1967.0,3.0,92.0,,5.0,6.0,,0.0,,,8.0,
1977.0,,,,,1.0,,0.0,,,2.0,4.0
1982.0,2.0,,,3.0,3.0,,0.0,,1.0,3.0,7.0
1993.0,4.0,,,2.0,4.0,,0.0,,,4.0,7.0
1998.0,2.0,,,,1.0,,0.0,,,1.0,3.0
2001.0,4.0,2.0,,,4.0,,0.0,,,6.0,2.0
2008.0,3.0,4.0,,,7.0,,0.0,,,6.0,2.0
2009.0,1.0,2.0,,,3.0,,0.0,,,4.0,2.0
2020.0,3.0,716.0,,,1.0,,0.0,1.0,1.0,1.0,
2024.0,,,,,3.0,,0.0,,1.0,3.0,6.0
2028.0,1.0,,,,,,0.0,,,2.0,3.0
2030.0,3.0,,,,12.0,,0.0,,4.0,19.0,15.0
2040.0,1.0,,,3.0,2.0,,0.0,,,2.0,6.0
2042.0,3.0,,,,14.0,,0.0,,,14.0,4.0
2043.0,,,,,2.0,,0.0,,1.0,2.0,2.0
2046.0,7.0,,,,11.0,,0.0,,1.0,10.0,
2053.0,,36.0,,,1.0,,0.0,,,1.0,2.0
2057.0,3.0,38.0,1.0,,6.0,,0.0,,1.0,5.0,
2069.0,1.0,7.0,,,2.0,,0.0,,,2.0,
2076.0,2.0,,,,5.0,,0.0,,1.0,5.0,
2077.0,,21.0,,,,,0.0,,,1.0,
2078.0,1.0,,,,2.0,,0.0,,,2.0,3.0
2104.0,,1.0,,,,,0.0,,,2.0,
2109.0,3.0,,,,3.0,,0.0,,,6.0,6.0
2115.0,1.0,36.0,,,6.0,,0.0,,,7.0,7.0
2130.0,1.0,1.0,,,5.0,,0.0,,,4.0,3.0
2131.0,1.0,,,,3.0,,0.0,,,3.0,7.0
2137.0,1.0,61.0,,,8.0,,0.0,2.0,,8.0,12.0
2148.0,1.0,1.0,,,2.0,,0.0,,,2.0,7.0
2151.0,2.0,,,,3.0,,0.0,,,3.0,6.0
2152.0,,,,,2.0,,0.0,,,3.0,
2164.0,1.0,,,,2.0,,0.0,,,1.0,1.0
2172.0,1.0,,,,4.0,4.0,0.0,,2.0,6.0,4.0
2181.0,3.0,3.0,,,1.0,,0.0,,,2.0,
2184.0,1.0,1.0,,,2.0,,0.0,,1.0,4.0,
2190.0,2.0,1.0,,,7.0,,0.0,,,8.0,
2196.0,,,,,,,,,,,
2200.0,1.0,22.0,,,8.0,,0.0,,1.0,9.0,
2203.0,2.0,,,,7.0,,0.0,,1.0,7.0,
2206.0,,1.0,,,2.0,,0.0,,,7.0,1.0
2208.0,,,,,2.0,,0.0,,,2.0,11.0
2217.0,3.0,5.0,1.0,3.0,5.0,,0.0,,,5.0,7.0
2218.0,1.0,1.0,,,4.0,,0.0,,,8.0,
2224.0,,,,,,,0.0,,,1.0,5.0
2230.0,2.0,1.0,,,1.0,,0.0,,,4.0,11.0
2236.0,,,,,1.0,2.0,0.0,,,1.0,2.0
